No,제목,학과,과정,년도,href,BERT_SCORE
19,MTSU에서의 한학기,생활디자인,학부,2014,/partner/expReport.asp?id=7041&page=1&bgbn=R,1
18,다시 돌아가고픈 MTSU,영어영문학과/경제학과,학부,2012,/partner/expReport.asp?id=5909&page=1&bgbn=R,1
17,미국 남부의 여유로움을 만끽한 일년!,경제학과,학부,2010-2011,/partner/expReport.asp?id=5117&page=1&bgbn=R,1
16,MTSU,경영학과,학부,2009-2010,/partner/expReport.asp?id=4539&page=1&bgbn=R,1
15,내가 너무 사랑하는 MTSU,행정학과,학부,2008-2009,/partner/expReport.asp?id=3628&page=1&bgbn=R,1
14,MTSU!!,문헌정보/경영,학부,2008-2009,/partner/expReport.asp?id=3588&page=1&bgbn=R,1
13,MTSU에서 소중했던 한 학기,사회학과 / 정치외교학과,학부,2008,/partner/expReport.asp?id=3442&page=1&bgbn=R,1
12,그리운 MTSU,교육과학대학교,학부,2008,/partner/expReport.asp?id=3351&page=1&bgbn=R,1
11,Murfreesboro에서의 소중한 경험,생화학과,학부,2008,/partner/expReport.asp?id=3112&page=1&bgbn=R,1
10,MTSU.. 나의 제 2의 학교..,경영학과,학부,2006-2007,/partner/expReport.asp?id=3095&page=1&bgbn=R,1
9,후회없는 선택 MTSU,경영학과,학부,2008,/partner/expReport.asp?id=3056&page=2&bgbn=R,0
8,보람있었던 1년,영어영문학과,학부,2006,/partner/expReport.asp?id=2336&page=2&bgbn=R,1
7,나에게 있어서 교환학생 생활이란,경영학과,학부,2006,/partner/expReport.asp?id=2288&page=2&bgbn=R,1
6,행복했던 시간,도시공학전공,학부,2004-2005,/partner/expReport.asp?id=1711&page=2&bgbn=R,1
5,소중한 추억을 기억하며,응용통계학과,학부,2004,/partner/expReport.asp?id=1589&page=2&bgbn=R,1
4,MTSU 경험기,신문방송학과,학부,2004,/partner/expReport.asp?id=1450&page=2&bgbn=R,1
3,소중한 경험,영어영문학전공,학부,2004,/partner/expReport.asp?id=1186&page=2&bgbn=R,1
2,MTSU에 다녀와서,상경계열,학부,2003년,/partner/expReport.asp?id=1042&page=2&bgbn=R,0
1,MTSU-강지선(영어영문학과),영어영문학전공,학부,2003,/partner/expReport.asp?id=1032&page=2&bgbn=R,1
