name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,GDP_dollar,date,currency_price,percentage_gap
United Arab Emirates,ARE,AED,14.75,3.673,4.016,39709.006,2020-07-01,3.747,0.072
Argentina,ARG,ARS,250.0,71.241,3.509,11658.22,2020-07-01,3.747,-0.063
Australia,AUS,AUD,6.55,1.431,4.578,56420.201,2020-07-01,3.747,0.222
Austria,AUT,EUR,3.86,0.88,4.388,51343.509,2020-07-01,3.747,0.171
Azerbaijan,AZE,AZN,3.95,1.699,2.325,4722.325,2020-07-01,3.747,-0.38
Belgium,BEL,EUR,4.35,0.88,4.945,46695.986,2020-07-01,3.747,0.32
Bahrain,BHR,BHD,1.4,0.377,3.713,25482.741,2020-07-01,3.747,-0.009
Brazil,BRA,BRL,20.9,5.34,3.914,8958.576,2020-07-01,3.747,0.044
Canada,CAN,CAD,6.88,1.355,5.077,46290.217,2020-07-01,3.747,0.355
Switzerland,CHE,CHF,6.5,0.941,6.906,83161.895,2020-07-01,3.747,0.843
Chile,CHL,CLP,2740.0,787.7,3.478,15901.725,2020-07-01,3.747,-0.072
China,CHN,CNY,21.7,7.004,3.098,9580.239,2020-07-01,3.747,-0.173
Colombia,COL,COP,11900.0,3617.01,3.29,6641.507,2020-07-01,3.747,-0.122
Costa Rica,CRI,CRC,2350.0,581.825,4.039,12039.107,2020-07-01,3.747,0.078
Czech Republic,CZE,CZK,89.0,23.413,3.801,23112.593,2020-07-01,3.747,0.014
Germany,DEU,EUR,4.45,0.88,5.059,47662.493,2020-07-01,3.747,0.35
Denmark,DNK,DKK,30.0,6.549,4.581,60897.231,2020-07-01,3.747,0.222
Egypt,EGY,EGP,42.0,15.95,2.633,2573.288,2020-07-01,3.747,-0.297
Spain,ESP,EUR,4.1,0.88,4.661,30733.168,2020-07-01,3.747,0.244
Estonia,EST,EUR,3.2,0.88,3.638,23330.275,2020-07-01,3.747,-0.029
Euro area,EUZ,EUR,4.21,0.88,4.786,40247.323,2020-07-01,3.747,0.277
Finland,FIN,EUR,4.88,0.88,5.548,49737.554,2020-07-01,3.747,0.481
France,FRA,EUR,4.2,0.88,4.775,42953.266,2020-07-01,3.747,0.274
Britain,GBR,GBP,3.39,0.793,4.277,42579.817,2020-07-01,3.747,0.142
Greece,GRC,EUR,3.3,0.88,3.752,20317.18,2020-07-01,3.747,0.001
Guatemala,GTM,GTQ,25.0,7.693,3.25,4545.085,2020-07-01,3.747,-0.133
Hong Kong,HKG,HKD,20.5,7.751,2.645,48450.607,2020-07-01,3.747,-0.294
Honduras,HND,HNL,87.0,24.691,3.524,2523.8,2020-07-01,3.747,-0.06
Croatia,HRV,HRK,22.0,6.627,3.32,14870.418,2020-07-01,3.747,-0.114
Hungary,HUN,HUF,900.0,311.378,2.89,16484.19,2020-07-01,3.747,-0.229
Indonesia,IDN,IDR,34000.0,14435.0,2.355,3870.562,2020-07-01,3.747,-0.371
India,IND,INR,190.0,75.198,2.527,2037.692,2020-07-01,3.747,-0.326
Ireland,IRL,EUR,4.3,0.88,4.888,78334.865,2020-07-01,3.747,0.305
Israel,ISR,ILS,17.0,3.437,4.947,41728.191,2020-07-01,3.747,0.32
Italy,ITA,EUR,4.3,0.88,4.888,34320.754,2020-07-01,3.747,0.305
Jordan,JOR,JOD,2.3,0.709,3.244,4270.172,2020-07-01,3.747,-0.134
Japan,JPN,JPY,390.0,107.275,3.636,39303.958,2020-07-01,3.747,-0.03
South Korea,KOR,KRW,4500.0,1200.95,3.747,33319.988,2020-07-01,3.747,0.0
Kuwait,KWT,KWD,1.15,0.308,3.736,30969.438,2020-07-01,3.747,-0.003
Lebanon,LBN,LBP,9000.0,1512.0,5.952,9251.207,2020-07-01,3.747,0.589
Sri Lanka,LKA,LKR,680.0,185.85,3.659,4099.118,2020-07-01,3.747,-0.024
Lithuania,LTU,EUR,2.85,0.88,3.24,18994.384,2020-07-01,3.747,-0.135
Latvia,LVA,EUR,2.85,0.88,3.24,18032.617,2020-07-01,3.747,-0.135
Moldova,MDA,MDL,47.0,17.075,2.753,3190.832,2020-07-01,3.747,-0.265
Mexico,MEX,MXN,50.0,22.436,2.229,9796.976,2020-07-01,3.747,-0.405
Malaysia,MYS,MYR,9.99,4.266,2.342,11072.387,2020-07-01,3.747,-0.375
Nicaragua,NIC,NIO,120.0,34.375,3.491,2030.5,2020-07-01,3.747,-0.068
Netherlands,NLD,EUR,4.09,0.88,4.65,53228.27,2020-07-01,3.747,0.241
Norway,NOR,NOK,52.0,9.371,5.549,81549.977,2020-07-01,3.747,0.481
New Zealand,NZL,NZD,6.6,1.518,4.348,41204.706,2020-07-01,3.747,0.16
Oman,OMN,OMR,1.1,0.385,2.857,18969.993,2020-07-01,3.747,-0.237
Pakistan,PAK,PKR,550.0,166.5,3.303,1565.427,2020-07-01,3.747,-0.118
Peru,PER,PEN,11.9,3.497,3.403,7007.171,2020-07-01,3.747,-0.092
Philippines,PHL,PHP,142.0,49.426,2.873,3104.223,2020-07-01,3.747,-0.233
Poland,POL,PLN,11.0,3.943,2.789,15425.681,2020-07-01,3.747,-0.256
Portugal,PRT,EUR,3.45,0.88,3.922,23437.39,2020-07-01,3.747,0.047
Qatar,QAT,QAR,13.0,3.641,3.57,70379.492,2020-07-01,3.747,-0.047
Romania,ROU,RON,9.9,4.26,2.324,12269.843,2020-07-01,3.747,-0.38
Russia,RUS,RUB,135.0,70.585,1.913,11289.439,2020-07-01,3.747,-0.49
Saudi Arabia,SAU,SAR,14.0,3.751,3.732,23538.94,2020-07-01,3.747,-0.004
Singapore,SGP,SGD,5.9,1.388,4.252,64578.772,2020-07-01,3.747,0.135
Slovakia,SVK,EUR,3.6,0.88,4.093,19579.309,2020-07-01,3.747,0.092
Slovenia,SVN,EUR,2.5,0.88,2.842,26145.653,2020-07-01,3.747,-0.241
Sweden,SWE,SEK,52.6,9.138,5.756,54356.073,2020-07-01,3.747,0.536
Thailand,THA,THB,128.0,31.385,4.078,7448.119,2020-07-01,3.747,0.088
Turkey,TUR,TRY,13.99,6.86,2.04,9405.321,2020-07-01,3.747,-0.456
Taiwan,TWN,TWD,72.0,29.456,2.444,25007.747,2020-07-01,3.747,-0.348
Ukraine,UKR,UAH,59.0,27.13,2.175,3112.883,2020-07-01,3.747,-0.42
Uruguay,URY,UYU,189.0,43.675,4.327,17014.132,2020-07-01,3.747,0.155
United States,USA,USD,5.71,1.0,5.71,62868.917,2020-07-01,3.747,0.524
Vietnam,VNM,VND,66000.0,23180.0,2.847,2551.123,2020-07-01,3.747,-0.24
South Africa,ZAF,ZAR,31.0,16.672,1.859,6353.846,2020-07-01,3.747,-0.504
