대학코드,대학명,NUM_VISITS,NUM_DEP,VAR
AR000004,Universidad del Salvador,1,1,0.0
AT000001,FH Kufstein Tirol University of Applied Sciences,40,10,25.6
AT000002,Johannes Kepler Universitat Linz,3,3,0.0
AT000003,Karl-Franzens-Universitat Graz,7,7,0.0
AT000006,Vienna University of Economics and Business,46,15,27.795555555555556
AT000007,University of Applied Sciences Wiener Neustadt,13,4,6.1875
AT000008,Universities of Applied Sciences Upper Austria,11,9,0.1728395061728395
AT000009,University of Vienna,20,11,1.603305785123967
AU000001,Bond University,19,14,0.3724489795918368
AU000002,Curtin University,7,6,0.13888888888888887
AU000003,Curtin University of Technology,16,14,0.12244897959183676
AU000004,Deakin University,24,17,0.9480968858131488
AU000005,La Trobe University,22,13,1.7514792899408282
AU000007,Monash University,43,24,2.248263888888889
AU000008,Murdoch University,9,7,0.20408163265306126
AU000010,Swinburne University of Technology,4,3,0.2222222222222222
AU000012,University of New South Wales,44,28,1.4591836734693875
AU000013,University of Queensland,62,36,2.6450617283950617
AU000014,University of Southern Queensland,1,1,0.0
AU000015,University of Sydney,58,31,3.4672216441207078
AU000016,"University of Technology, Sydney",49,26,4.025147928994082
AU000019,Australian National University,30,19,0.7700831024930747
AU000020,University of Adelaide,10,10,0.0
BE000001,Universite Catholique De Louvain,34,11,14.62809917355372
BE000002,KU Leuven,5,5,0.0
BE000003,Ghent University,1,1,0.0
CA000001,Bishop's University,15,10,1.05
CA000002,Brock University,29,15,4.195555555555556
CA000003,Dalhousie University,6,3,2.0
CA000004,Huron University College,15,5,6.8
CA000005,Laurentian University,8,7,0.12244897959183677
CA000006,McGill University,42,22,2.9008264462809925
CA000007,Simon Fraser University,79,24,23.789930555555554
CA000008,Thompson Rivers University,1,1,0.0
CA000009,Trent University,4,4,0.0
CA000010,University College of Cape Breton,3,3,0.0
CA000011,University of Alberta,93,38,5.878808864265926
CA000012,University of British Columbia,168,56,25.25
CA000013,University of Manitoba,47,10,54.81000000000002
CA000014,University of Montreal,13,5,5.440000000000002
CA000015,University of Toronto,108,47,7.613399728383884
CA000016,University of Victoria,10,8,0.1875
CA000017,University of Waterloo,7,4,0.6875
CA000018,"University of Western Ontario, Richard Ivey School of Business",14,3,26.888888888888886
CA000019,York University,3,2,0.25
CA000020,York University: Schulich School of Business,36,6,57.333333333333336
CA000021,University of Regina,1,1,0.0
CA000022,University of Calgary,6,5,0.16000000000000006
