index,대학코드,국가,대학명,파견구분,협정형태,NUM_VISITS,BERT_SUM,RNN_SUM,href,BERT_AVG,RNN_AVG,BERT_PLUS_RNN_SCORE
376,CH000004,SWITZERLAND,University of Lausanne,교환학생,교환대학ISEP,8.0,8.0,6.659101605415344,/partner/expReport.asp?ucode=CH000004&bgbn=A,1.0,0.832387700676918,1.832387700676918
284,MX000004,MEXICO,Instituto Tecnologico y de Estudios Superiores de Monterrey (ITESM)-Monterrey,교환학생,교환대학ISEP,7.0,7.0,5.66569972038269,/partner/expReport.asp?ucode=MX000004&bgbn=A,1.0,0.8093856743403843,1.8093856743403842
415,GB000010,UNITED KINGDOM,University of Edinburgh,교환학생방문학생SAP(정규),교환대학SAF,7.0,7.0,5.607286095619202,/partner/expReport.asp?ucode=GB000010&bgbn=A,1.0,0.8010408708027431,1.8010408708027432
361,SE000003,SWEDEN,Kristianstad University,교환학생,교환대학,49.0,47.0,39.3415404856205,/partner/expReport.asp?ucode=SE000003&bgbn=A,0.9591836734693877,0.8028885813391938,1.7620722548085817
264,JP000033,JAPAN,University of Tokyo,교환학생,교환대학,10.0,9.0,8.218766272068024,/partner/expReport.asp?ucode=JP000033&bgbn=A,0.9,0.8218766272068023,1.7218766272068025
547,US000104,UNITED STATES,Maryville College,교환학생,교환대학,28.0,27.0,21.112274765968323,/partner/expReport.asp?ucode=US000104&bgbn=A,0.9642857142857143,0.7540098130702972,1.7182955273560117
521,US000079,UNITED STATES,Hobart & William Smith College,교환학생,교환대학,28.0,26.0,21.59011882543564,/partner/expReport.asp?ucode=US000079&bgbn=A,0.9285714285714286,0.771075672336987,1.6996471009084155
27,AT000001,AUSTRIA,FH Kufstein Tirol University of Applied Sciences,교환학생,교환대학,40.0,36.0,31.848505318164825,/partner/expReport.asp?ucode=AT000001&bgbn=A,0.9,0.7962126329541206,1.6962126329541207
731,US000273,UNITED STATES,Westminster College,교환학생,교환대학,23.0,21.0,17.890282809734344,/partner/expReport.asp?ucode=US000273&bgbn=A,0.9130434782608695,0.777838383031928,1.6908818612927976
87,CN000010,CHINA,Shandong University,교환학생,교환대학,8.0,7.0,6.468337118625641,/partner/expReport.asp?ucode=CN000010&bgbn=A,0.875,0.8085421398282051,1.683542139828205
49,CA000003,CANADA,Dalhousie University,교환학생,교환대학,6.0,6.0,4.0886465311050415,/partner/expReport.asp?ucode=CA000003&bgbn=A,1.0,0.681441088517507,1.681441088517507
480,US000022,UNITED STATES,CSU Chico,교환학생,교환대학,21.0,19.0,16.284026086330414,/partner/expReport.asp?ucode=US000022&bgbn=A,0.9047619047619048,0.7754298136347816,1.6801917183966864
168,DE000017,GERMANY,Humboldt-Universitat zu Berlin,교환학생,교환대학,28.0,27.0,19.999718010425568,/partner/expReport.asp?ucode=DE000017&bgbn=A,0.9642857142857143,0.7142756432294846,1.678561357515199
369,SE000011,SWEDEN,University of Gothenburg,교환학생,교환대학,28.0,27.0,19.829801857471466,/partner/expReport.asp?ucode=SE000011&bgbn=A,0.9642857142857143,0.7082072091954095,1.6724929234811237
667,US000214,UNITED STATES,University of Miami,교환학생,교환대학,12.0,11.0,9.031297266483307,/partner/expReport.asp?ucode=US000214&bgbn=A,0.9166666666666666,0.7526081055402756,1.669274772206942
389,TH000003,THAILAND,Thammasat University,교환학생,교환대학ISEP,7.0,6.0,5.681051671504974,/partner/expReport.asp?ucode=TH000003&bgbn=A,0.8571428571428571,0.8115788102149963,1.6687216673578535
539,US000096,UNITED STATES,Linfield College,교환학생,교환대학,51.0,50.0,35.07753622531891,/partner/expReport.asp?ucode=US000096&bgbn=A,0.9803921568627451,0.6877948279474296,1.6681869848101747
166,DE000003,GERMANY,Freie Universitat Berlin,교환학생,교환대학,49.0,45.0,36.71399915218353,/partner/expReport.asp?ucode=DE000003&bgbn=A,0.9183673469387755,0.7492652888200722,1.6676326357588476
371,SE000010,SWEDEN,Uppsala University,교환학생,교환대학,36.0,32.0,27.968223303556442,/partner/expReport.asp?ucode=SE000010&bgbn=A,0.8888888888888888,0.7768950917654567,1.6657839806543455
320,NZ000004,NEW ZEALAND,University of Otago,교환학생,교환대학,14.0,13.0,10.308277785778046,/partner/expReport.asp?ucode=NZ000004&bgbn=A,0.9285714285714286,0.7363055561270032,1.6648769846984317
728,US000271,UNITED STATES,Western Kentucky University,교환학생,교환대학,20.0,17.0,16.276685535907745,/partner/expReport.asp?ucode=US000271&bgbn=A,0.85,0.8138342767953872,1.663834276795387
