index,대학코드,국가,대학명,파견구분,협정형태,NUM_VISITS,BERT_SUM,RNN_SUM,BERT_AVG,RNN_AVG,BERT_PLUS_RNN_SCORE,COLLEGE_LINK
376,CH000004,SWITZERLAND,University of Lausanne,교환학생,교환대학ISEP,8.0,8.0,6.659101605415344,1.0,0.832387700676918,0.9497163102030753,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CH000004&bgbn=A
284,MX000004,MEXICO,Instituto Tecnologico y de Estudios Superiores de Monterrey (ITESM)-Monterrey,교환학생,교환대학ISEP,7.0,7.0,5.66569972038269,1.0,0.8093856743403843,0.9428157023021153,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=MX000004&bgbn=A
415,GB000010,UNITED KINGDOM,University of Edinburgh,교환학생방문학생SAP(정규),교환대학SAF,7.0,7.0,5.607286095619202,1.0,0.8010408708027431,0.9403122612408229,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000010&bgbn=A
361,SE000003,SWEDEN,Kristianstad University,교환학생,교환대학,49.0,47.0,39.3415404856205,0.9591836734693877,0.8028885813391938,0.9122951458303294,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=SE000003&bgbn=A
49,CA000003,CANADA,Dalhousie University,교환학생,교환대학,6.0,6.0,4.0886465311050415,1.0,0.681441088517507,0.9044323265552521,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=CA000003&bgbn=A
547,US000104,UNITED STATES,Maryville College,교환학생,교환대학,28.0,27.0,21.112274765968323,0.9642857142857143,0.7540098130702972,0.9012029439210891,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000104&bgbn=A
246,JP000017,JAPAN,Nagasaki University,교환학생,교환대학,7.0,7.0,4.619840860366821,1.0,0.6599772657666888,0.8979931797300066,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=JP000017&bgbn=A
34,AT000009,AUSTRIA,University of Vienna,교환학생,교환대학,20.0,20.0,13.028918445110321,1.0,0.651445922255516,0.8954337766766547,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=AT000009&bgbn=A
539,US000096,UNITED STATES,Linfield College,교환학생,교환대학,51.0,50.0,35.07753622531891,0.9803921568627451,0.6877948279474296,0.8926129581881503,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000096&bgbn=A
168,DE000017,GERMANY,Humboldt-Universitat zu Berlin,교환학생,교환대학,28.0,27.0,19.999718010425568,0.9642857142857143,0.7142756432294846,0.8892826929688453,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=DE000017&bgbn=A
130,FR000007,FRANCE,Hautes Etudes Commercials (HEC Paris),교환학생,교환대학,6.0,6.0,3.7635921835899353,1.0,0.6272653639316559,0.8881796091794967,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=FR000007&bgbn=A
369,SE000011,SWEDEN,University of Gothenburg,교환학생,교환대학,28.0,27.0,19.829801857471466,0.9642857142857143,0.7082072091954095,0.8874621627586228,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=SE000011&bgbn=A
660,US000208,UNITED STATES,University of Iowa,교환학생방문학생SAP(정규),ISEPSAF,6.0,6.0,3.647523581981659,1.0,0.6079205969969431,0.882376179099083,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000208&bgbn=A
521,US000079,UNITED STATES,Hobart & William Smith College,교환학생,교환대학,28.0,26.0,21.59011882543564,0.9285714285714286,0.771075672336987,0.8813227017010961,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000079&bgbn=A
264,JP000033,JAPAN,University of Tokyo,교환학생,교환대학,10.0,9.0,8.218766272068024,0.9,0.8218766272068023,0.8765629881620407,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=JP000033&bgbn=A
615,US000168,UNITED STATES,St. Olaf College,교환학생,교환대학,20.0,19.0,14.099125474691391,0.95,0.7049562737345696,0.8764868821203708,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000168&bgbn=A
