,univ_name,address,latitude,longitude
0,Universidad del Salvador, Buenos Aires,-34.6011779,-58.391496
1,Australian National University,Canberra ACT 0200,-35.2776999,149.118527
2,Bond University, Robina QLD 4226,-28.0730934,153.4166377
3,Curtin University, Bentley WA 6102,-32.0061951,115.8944182
4,Curtin University of Technology, Bentley WA 6102,-32.0061951,115.8944182
5,Deakin University, Burwood VIC 3125,-37.8474187,145.1149861
6,La Trobe University, Bundoora VIC 3086,-37.7206671,145.048414
7,Monash University, Clayton VIC 3800,-37.9105599,145.1362485
8,Murdoch University, Murdoch WA 6150,-32.071,115.825
9,Swinburne University of Technology, Hawthorn VIC 3122,-37.8221504,145.0389546
10,University of Adelaide,Adelaide SA 5005,-34.920603,138.6062277
11,University of New South Wales,Sydney NSW 2052,-33.917347,151.2312675
12,University of Queensland,St Lucia QLD 4072,-27.4975028,153.0136905
13,University of Southern Queensland, Darling Heights QLD 4350,-27.6043593,151.9303905
14,University of Sydney,Camperdown NSW 2006,-33.8885748,151.1873494
15,"University of Technology, Sydney", Ultimo NSW 2007,-33.8832376,151.2004942
16,FH Kufstein Tirol University of Applied Sciences, 6330 Kufstein,47.583807,12.1736679
17,Johannes Kepler Universitat Linz, 4040 Linz,48.3364079,14.3181628
18,Karl-Franzens-Universitat Graz, 8010 Graz,47.0776328,15.4495241
19,Universities of Applied Sciences Upper Austria, 4600 Wels,48.1610538,14.0267157
20,University of Applied Sciences Wiener Neustadt, 2700 Wiener Neustadt,47.8389128,16.24845
21,University of Vienna, 1010 Wien,48.2131855,16.3600504
22,Vienna University of Economics and Business, 1020 Wien,48.2134275,16.4084666
23,Ghent University, 9000 Gent,51.0465619,3.7279181
24,KU Leuven, 3000 Leuven,50.8779545,4.7002953
25,Universite Catholique De Louvain, 1348 Ottignies-Louvain-la-Neuve,50.6696875,4.6155909
26,Bishop's University, QC J1M 1Z7,45.3628528,-71.8456569
27,Brock University, ON L2S 3A1,43.1175731,-79.2476925
28,Dalhousie University, NS B3H 4R2,44.6365812,-63.5916555
29,Huron University College, ON N6G 1H3,43.0089768,-81.2777032
30,Laurentian University, ON P3E 2C6,46.4700285,-80.9744513
31,McGill University, QC H3A 0G4,45.5047847,-73.5771511
32,Simon Fraser University, BC V5A 1S6,49.2780937,-122.9198833
33,Thompson Rivers University, BC V2C 0C8,50.6705062,-120.365894
34,Trent University, ON L1J 5Y1,43.8896788,-78.8905517
35,University College of Cape Breton, NS B1P 6L2,46.1706301,-60.0934998
36,University of Alberta, AB T6G 2R3,53.5232189,-113.5263186
37,University of British Columbia, BC V6T 1Z4,49.2606052,-123.2459938
38,University of Calgary, AB T2N 1N4,51.0775908,-114.140695
39,University of Manitoba, MB R3T 2N2,49.8075008,-97.1366259
40,University of Montreal, QC H3T 1J4,45.5056156,-73.6137592
41,University of Regina, SK S4S 0A2,50.4154542,-104.5878302
42,University of Toronto, ON M5S,43.6628917,-79.3956564
43,University of Victoria, BC V8P 5C2,48.4634067,-123.3116935
44,University of Waterloo, ON N2L 3G1,43.4722854,-80.5448576
45,"University of Western Ontario, Richard Ivey School of Business", ON N6G 0N1,43.0043193,-81.2778586
46,York University, ON M3J 1P3,43.7734535,-79.5018684
47,York University: Schulich School of Business, ON M3J 1P3,43.773227,-79.498257
